,time_ID,datetime,close,avg_twitter_sentiment,future_close,target
0,1619737200000,2021-04-30 00:00:00,1.30630000,,1.35320000,1
1,1619740800000,2021-04-30 01:00:00,1.29180000,,1.34360000,1
2,1619744400000,2021-04-30 02:00:00,1.31280000,,1.34700000,1
3,1619748000000,2021-04-30 03:00:00,1.30680000,,1.35700000,1
4,1619751600000,2021-04-30 04:00:00,1.31380000,,1.36600000,1
5,1619755200000,2021-04-30 05:00:00,1.34120000,,1.35770000,1
6,1619758800000,2021-04-30 06:00:00,1.35880000,,1.36000000,1
7,1619762400000,2021-04-30 07:00:00,1.36190000,,1.35050000,0
8,1619766000000,2021-04-30 08:00:00,1.34740000,,1.34720000,0
9,1619769600000,2021-04-30 09:00:00,1.35240000,,1.33360000,0
10,1619773200000,2021-04-30 10:00:00,1.34530000,,1.32910000,0
11,1619776800000,2021-04-30 11:00:00,1.33000000,,1.33580000,1
12,1619780400000,2021-04-30 12:00:00,1.32870000,,1.34150000,1
13,1619784000000,2021-04-30 13:00:00,1.34480000,,1.33320000,0
14,1619787600000,2021-04-30 14:00:00,1.35090000,,1.33180000,0
15,1619791200000,2021-04-30 15:00:00,1.34150000,,1.32600000,0
16,1619794800000,2021-04-30 16:00:00,1.35350000,,1.33310000,0
17,1619798400000,2021-04-30 17:00:00,1.35340000,,1.33510000,0
18,1619802000000,2021-04-30 18:00:00,1.35600000,,1.33150000,0
19,1619805600000,2021-04-30 19:00:00,1.35510000,,1.33630000,0
20,1619809200000,2021-04-30 20:00:00,1.35740000,,1.33250000,0
21,1619812800000,2021-04-30 21:00:00,1.34560000,,1.33820000,0
22,1619816400000,2021-04-30 22:00:00,1.34780000,,1.33080000,0
23,1619820000000,2021-04-30 23:00:00,1.34580000,,1.34890000,1
24,1619823600000,2021-05-01 00:00:00,1.35320000,,1.35160000,0
25,1619827200000,2021-05-01 01:00:00,1.34360000,,1.33790000,0
26,1619830800000,2021-05-01 02:00:00,1.34700000,,1.33950000,0
27,1619834400000,2021-05-01 03:00:00,1.35700000,,1.34520000,0
28,1619838000000,2021-05-01 04:00:00,1.36600000,,1.30840000,0
29,1619841600000,2021-05-01 05:00:00,1.35770000,,1.32240000,0
30,1619845200000,2021-05-01 06:00:00,1.36000000,,1.32180000,0
31,1619848800000,2021-05-01 07:00:00,1.35050000,,1.32840000,0
32,1619852400000,2021-05-01 08:00:00,1.34720000,,1.31500000,0
33,1619856000000,2021-05-01 09:00:00,1.33360000,,1.30700000,0
34,1619859600000,2021-05-01 10:00:00,1.32910000,,1.31150000,0
35,1619863200000,2021-05-01 11:00:00,1.33580000,,1.31930000,0
36,1619866800000,2021-05-01 12:00:00,1.34150000,,1.32150000,0
37,1619870400000,2021-05-01 13:00:00,1.33320000,,1.33220000,0
38,1619874000000,2021-05-01 14:00:00,1.33180000,,1.32780000,0
39,1619877600000,2021-05-01 15:00:00,1.32600000,,1.33740000,1
40,1619881200000,2021-05-01 16:00:00,1.33310000,,1.33270000,0
41,1619884800000,2021-05-01 17:00:00,1.33510000,,1.33490000,0
42,1619888400000,2021-05-01 18:00:00,1.33150000,,1.34180000,1
43,1619892000000,2021-05-01 19:00:00,1.33630000,,1.34040000,1
44,1619895600000,2021-05-01 20:00:00,1.33250000,,1.34670000,1
45,1619899200000,2021-05-01 21:00:00,1.33820000,,1.34430000,1
46,1619902800000,2021-05-01 22:00:00,1.33080000,,1.33590000,1
47,1619906400000,2021-05-01 23:00:00,1.34890000,,1.32250000,0
48,1619910000000,2021-05-02 00:00:00,1.35160000,,1.32670000,0
49,1619913600000,2021-05-02 01:00:00,1.33790000,,1.34170000,1
50,1619917200000,2021-05-02 02:00:00,1.33950000,,1.34680000,1
51,1619920800000,2021-05-02 03:00:00,1.34520000,,1.35410000,1
52,1619924400000,2021-05-02 04:00:00,1.30840000,,1.34500000,1
53,1619928000000,2021-05-02 05:00:00,1.32240000,,1.34080000,1
54,1619931600000,2021-05-02 06:00:00,1.32180000,,1.34330000,1
55,1619935200000,2021-05-02 07:00:00,1.32840000,,1.34610000,1
56,1619938800000,2021-05-02 08:00:00,1.31500000,,1.35940000,1
57,1619942400000,2021-05-02 09:00:00,1.30700000,,1.35500000,1
58,1619946000000,2021-05-02 10:00:00,1.31150000,,1.35350000,1
59,1619949600000,2021-05-02 11:00:00,1.31930000,,1.35360000,1
60,1619953200000,2021-05-02 12:00:00,1.32150000,,1.37270000,1
61,1619956800000,2021-05-02 13:00:00,1.33220000,,1.36600000,1
62,1619960400000,2021-05-02 14:00:00,1.32780000,,1.33880000,1
63,1619964000000,2021-05-02 15:00:00,1.33740000,,1.34820000,1
64,1619967600000,2021-05-02 16:00:00,1.33270000,,1.34290000,1
65,1619971200000,2021-05-02 17:00:00,1.33490000,,1.34620000,1
66,1619974800000,2021-05-02 18:00:00,1.34180000,,1.36720000,1
67,1619978400000,2021-05-02 19:00:00,1.34040000,,1.36830000,1
68,1619982000000,2021-05-02 20:00:00,1.34670000,,1.36420000,1
69,1619985600000,2021-05-02 21:00:00,1.34430000,,1.34960000,1
70,1619989200000,2021-05-02 22:00:00,1.33590000,,1.35420000,1
71,1619992800000,2021-05-02 23:00:00,1.32250000,,1.36400000,1
72,1619996400000,2021-05-03 00:00:00,1.32670000,,,0
73,1620000000000,2021-05-03 01:00:00,1.34170000,,,0
74,1620003600000,2021-05-03 02:00:00,1.34680000,,,0
75,1620007200000,2021-05-03 03:00:00,1.35410000,,,0
76,1620010800000,2021-05-03 04:00:00,1.34500000,,,0
77,1620014400000,2021-05-03 05:00:00,1.34080000,,,0
78,1620018000000,2021-05-03 06:00:00,1.34330000,,,0
79,1620021600000,2021-05-03 07:00:00,1.34610000,,,0
80,1620025200000,2021-05-03 08:00:00,1.35940000,,,0
81,1620028800000,2021-05-03 09:00:00,1.35500000,,,0
82,1620032400000,2021-05-03 10:00:00,1.35350000,,,0
83,1620036000000,2021-05-03 11:00:00,1.35360000,,,0
84,1620039600000,2021-05-03 12:00:00,1.37270000,,,0
85,1620043200000,2021-05-03 13:00:00,1.36600000,,,0
86,1620046800000,2021-05-03 14:00:00,1.33880000,,,0
87,1620050400000,2021-05-03 15:00:00,1.34820000,,,0
88,1620054000000,2021-05-03 16:00:00,1.34290000,,,0
89,1620057600000,2021-05-03 17:00:00,1.34620000,,,0
90,1620061200000,2021-05-03 18:00:00,1.36720000,,,0
91,1620064800000,2021-05-03 19:00:00,1.36830000,,,0
92,1620068400000,2021-05-03 20:00:00,1.36420000,,,0
93,1620072000000,2021-05-03 21:00:00,1.34960000,,,0
94,1620075600000,2021-05-03 22:00:00,1.35420000,,,0
95,1620079200000,2021-05-03 23:00:00,1.36400000,,,0
